#VALIDAÇÃO	Update
positivo	"RT @Guilherme_f14: @Catharine_Gaga até parece né? SKY é outro nível, comparando a parabólica principalmente"
lixo	"Obs @ 01:00 BST: clear sky. 12°C (54°F): Temp 12°C (54°F), Wind WNW, 2mph, Hum 94%, Pres 1022mb, rising, Vis MO"
neutro	"RT @Guuhstavo_sfc: Pros santistas que querem assistir o jogo, está passando no canal 124 na SKY"
neutro	RT @Hellenzitcha_: thalia tá perdendo de 10-0 pra SKY ahuduadashuahda
negativo	RT @imperioneymarjr: Tem um monte de canal na sky que tá passando Flamengo x Cruzeiro e o Corinthians x Luverdense e não tem NENHUM passando Santos :@ tnc
neutro	"RT @izabeelly_: @GFBPAsempre ah é, tu é ryca, só tem SKY ahahhhaha"
lixo	RT @jfrossi: Ventos do sudoeste dizem que o Baby Pun SKY ganhou no LDB... Show! Borá molecada...
negativo	"RT @Juan_Lateral: Não pago sky,pra ver Corinthians x Luverdense."
negativo	"RT @Juan_Lateral: Não pago sky,pra ver Corinthians x Luverdense."
negativo	"RT @Juan_Lateral: Não pago sky,pra ver Corinthians x Luverdense."
negativo	"RT @Juan_Lateral: Não pago sky,pra ver Corinthians x Luverdense."
negativo	"RT @JuhAmorim_: A PARTIR DO DIA 01 O VH1 VAI SER SUBSTITUIDO PELA MTV NA SKY. ACHO ISSO BOM OU RUIM OU PÉSSIMO, POXAAAAA?"
negativo	RT @JulianoChade: Essa propaganda da SKY com o Jota Q.  É muito ruim !
neutro	RT @JuunioorM: @isma_b 124 da sky só pra quem sportv contratado
neutro	RT @keatsdrugs: amanhã vai ter entrevista com os meninos na playtv 19:30 canal 181 na sky
lixo	A road... #clouds #sky #sun #blue #road #motorcycle #tree #transport #ouagadougou #burkinafaso #africa… http://instagram.com/p/dk9NCqDtpY/
neutro	RT @keatsdrugs: amanhã vai ter entrevista com os meninos na playtv 19:30 canal 181 na sky
lixo	"Orange Coloured Sky da Lady Gaga toca ae @radiomixfm iPod Touch 5 é meu já, #MixFmBrasil a melhor rádio do país com as melhores promoções"
neutro	RT @keatsdrugs: amanhã vai ter entrevista com os meninos na playtv 19:30 canal 181 na sky
lixo	Carroussel com o tema Laputa Castel in the Sky! #miyazaky http://instagram.com/p/dk_VyvAKWN/
neutro	RT @keatsdrugs: amanhã vai ter entrevista com os meninos na playtv 19:30 canal 181 na sky
negativo	RT @luannamg: e so da um vento q a sky para no tempo !
positivo	"RT @manecamafra: o mundo é dos nets o caralho, aqui é SKY POURRA"
positivo	"RT @manecamafra: o mundo é dos nets o caralho, aqui é SKY POURRA"
positivo	"RT @manecamafra: o mundo é dos nets o caralho, aqui é SKY POURRA"
neutro	RT @maraca001: @Critico_Verde @Espiaoverde olha to vendo no sportv 3 na sky é 37
neutro	RT @matheuspernisa: Pq toda vez q acho um filme legal na sky ele ja ta acabando?? Vacilo kkk
neutro	RT @Midiatismo: Sky traz um sentido completamente novo para as #hashtags do Twitter - #antigo http://bit.ly/19rN2yR ( http://www.midiatismo.com.br/midias-sociais/sky-traz-um-sentido-completamente-novo-para-as-hashtags-do-twitter )
neutro	RT @mjlette2: @brukirossi Ligadíssimo na Sky canal 124: jogão Santos X Gremio!!!
neutro	RT @My_World_Njr: alguem sabe q canal na sky ta passando o jogo do santos?
lixo	"""Na sky a sua diversão é garantida"" TO VENDO"
lixo	QUEM TEM INSTAGRAM PODE MI SEGUIR ? QUEM TEM INSTAGRAM PODE MI SEGUIR ? E MaarianaFurlan ??   Sky
lixo	fiz 603 no sky jump meu recorde to feliz e com vergonha
negativo	RT @natipavin: Legal quando tu tem sky e descobre uns 5 segundos antes que vai ter gol pq algum vizinho começa a gritar hahahhahahah
neutro	RT @nerdstuff1: até mais e se vcs tem sky amanha passa the big bang theory
neutro	"RT @NoticiasCRF: Por causa desse juiz viado, quase que eu quebro o controle da Sky. kkkk'"
neutro	"RT @NoticiasCRF: Por causa desse juiz viado, quase que eu quebro o controle da Sky. kkkk'"
neutro	RT @nowLi4m: eu odeio quando a garota com 11 anos fala ''na minha época'' dá vontade de jogar a parabólica de sky na cabeça dela
neutro	"RT @ovarzeano: Alteração na Sky. Sai Vh1, entra MTV. http://pic.twitter.com/4xoENSIW6G ( http://twitter.com/ovarzeano/status/372881417601970176/photo/1 )"
negativo	RT @P_Oliiiveira: nao ta passando o jogo do Barça na sky #chatiadoo
negativo	RT @paulinhonix: essa SKY ta e mi tirando
negativo	"RT @pedrocaravelo: crl, tnc essa sky, n vai passar o jogo do barça c Neymar de titular, pqp"
neutro	"RT @PicSchmitz: Ótimo o Entre Sem Bater do meu amigo @flausinoJQ e sua turma do @jotaquest! Pra quem gosta de música boa, recomendo!! http://skylive.sky.com.br/#/entre-sem-ba… ( http://skylive.sky.com.br/ )"
neutro	RT @PsiuGabiTeAmo: Caraaaio vlh tava passando sitio do picapau amarelo na sky eu amava qndo crianca *-*
negativo	RT @quantotempodura: Esse comercial da Sky com Jota Quest deve ter causado mais cancelamentos que novas assinaturas
negativo	RT @quantotempodura: Esse comercial da Sky com Jota Quest deve ter causado mais cancelamentos que novas assinaturas
negativo	RT @Rafael_Dourado: Sky querendo me matar do coração...
negativo	RT @ralphsantos: kd a porra do jogo do barça sky ?
neutro	"RT @renerlopes: A quem interessar possa: Grêmio x Santos passará: Net 124, Claro 146, GVT 154 e Sky 124. Informei."
neutro	"RT @renerlopes: A quem interessar possa: Grêmio x Santos passará: Net 124, Claro 146, GVT 154 e Sky 124. Informei."
neutro	"RT @renerlopes: A quem interessar possa: Grêmio x Santos passará: Net 124, Claro 146, GVT 154 e Sky 124. Informei."
neutro	"RT @RH_Ricardo: RT @ruscillo Aqui na Net, canal 124 aberto com o ""Sportv 5"" para Grêmio x Santos. // sky tambem"
lixo	"@skybrasil Pago quase $500,00 de fatura por mes e não estou podendo assistir ao jogo do meu time. Sky é uma bosta...tv não é isso.."
neutro	"RT @ruscillo Aqui na Net, canal 124 aberto com o ""Sportv 5"" para Grêmio x Santos. // sky tambem"
neutro	RT @SantosFC_Neymar: @andresouza09_fc ah nao to confundindo to achando q ce ta falando de claro do celular kkkkkkkkkkkkkkkkkkkk a maioria é sky
lixo	Visite minha Suíte! Acabei de comprar um(a) Purple Sky Shirt! http://stardoll.com/in/?pid=25720&… ( http://www.stardoll.com/en/user/?id=165247831&pid=25720 )
neutro	"RT @sbringles: Fifa 2014 poderia ter entre as opções de câmera: TV, wide, sky e Arena OAS. Eu ia curtir. Permite ver melhor o jogo."
neutro	RT @schmidtgirl_: gente ta passando we are no 86 sky repassem ai cara meu deus
neutro	RT @schmidtgirl_: gente ta passando we are no 86 sky repassem repfdsojfovjdzl
lixo	@sw4gy E SE A GENTE DER SORTE A GENTE AINDA ANDA DE JET SKY ADOGJAODGSG SÓ NÃO PODE PERDER A PERNA RSRSRS (indireta) SÇOGKAODGJOD SCRR
neutro	RT @schmidtgirl_: gente ta passando we are no 86 sky repassem repfdsojfovjdzl
negativo	RT @SidneyCRF: SKY não tem a esporte interativo ai ai  tem coisas que não entendo
negativo	RT @SidneyCRF: SKY não tem a esporte interativo ai ai  tem coisas que não entendo
neutro	"RT @sofiainthesky_: minha mãe mandou uma mensagem avisando que em outubro vai ter MTV na sky mas agora o escandalo da miley cyrus já aconteceu, poxa"
negativo	"RT @swpfilho7: @JoaoACruzeiro que merda como a sky nao passa um trem desses, tnc viu"
positivo	"RT @thaimelgar: Graças a Deus tenho sky, odeio os comentários na globo"
negativo	RT @thorpassiva: odeio a sky que nao tem mtv me fez perder meu timberlake cantando umas 5 MUSICAS 5
negativo	RT @thorpassiva: odeio a sky que nao tem mtv me fez perder meu timberlake cantando umas 5 MUSICAS 5
neutro	RT @Tiagohalmeida: Pessoal que NÃO quer assistir o jogo pela RBS: SporTV vai abrir um canal alternativo pra transmitir o jogo: CANAL 124 da SKY.
lixo	"bati meu recorde no sky jump, awn awn"
neutro	RT @tornlirry: Passou propaganda de this is us na sky ar eu preciso de ar
lixo	"@MathVencovsky ah mor, hahaha vencovsky - vem com sky haha mas a vodka pode ser tbm, só combina"
neutro	"RT @tsfontana: @someprosa Canal 124 da Sky. Na Net passa também, mas não sei o canal."
neutro	RT @Uesliy11: JOGO DO PALMEIRAS VAI PASSAR NO SPORTV 3 CANAL 37 NA SKY REPASSEM
neutro	RT @uppaulob: @poharina aqui oh recebi email da SKY http://pic.twitter.com/lotK63lvGa ( http://twitter.com/uppaulob/status/372877469218787328/photo/1 )
neutro	RT @WhallaccySiilva: Jack acabou de passar aqui em frente a sky
negativo	"RT! @drigocarvalho_ Sky tem até o canal do boi, mas n tem o @Esp_Interativo | jogão: Barcelona e Atlético de Madrid"
negativo	Sacanagem acho que não vai passa o jogo do Grêmio na sky
negativo	Sacanagem nao passa o jogo na sky
negativo	Saiu a luz mas voltou agora... O que não volta é a sky haha
neutro	Santos não canal 124 SKY
negativo	saporra de sky ter que ficar mudando os canais
neutro	"sdds ver PLL, desde quando o boomerang saiu da sky nunca mais vi :((("
neutro	Sem sky e o jogo não está sendo transmitido por rádio nenhuma
lixo	"Eu adoro saber sobre as últimas novidades! Minha última compra Purple Sky Shirt, Matrix Web Skirt é incrível! http://stardoll.com/in/?pid=25720&… ( http://www.stardoll.com/en/user/?id=194392504&pid=25720 )"
neutro	SERÁ QUE ALGUM FILHO DE DEUS NESSA PORRA PODE ME DIZER QUE CANAL DA SKY NESSE CARALHO TA PASSANDO O JOGO DO SANTOS?
negativo	"serenoooo, o sinal da sky pode falhar só no meu quarto mesmo"
negativo	sério que Barça x Atlético de Madri não tá passando na sky?
negativo	"Sério que eu recebi email da SKY dizendo que o VH1 será substituido pela MTV Brasil? Tipo.. Oi? ""Sem nenhum custo adicional p vc!"", tb né?"
negativo	"Sky ""livre"" tem 2 canais que prestam"
negativo	Sky assim n dá! Vc tem que fazer controles mais resistentes aos tombos. Caiu e agora n muda de canal
negativo	Sky cheio de lag se fudee
neutro	Sky colabora ai vai !?
neutro	SKY com 7 canais HD em teste. Mas e a história que o satélite estava lotado? Vão explodi-lo
neutro	"Sky de 39,90, imagina quais os canais eim???"
negativo	sky de merda n tem esporte interativo --'
negativo	Sky de merda nunca passa os jogos vou ter q ver fluminense x Goiás !
negativo	sky do krl tranca bem agr ;s
negativo	Sky e essas putarias de mudar os canais de lugar.
negativo	"Sky é uma merda, n tem esporte interativo ;@"
negativo	"Sky é uma merda, não ta chovendo e mesmo assim está sem sinal, não acredito que to perdendo Amor a Vida >:@"
negativo	Sky e´um lixo msm.. Nem pra passar o jogo do barça
neutro	SKY em casa uhuhul
neutro	sky em outubro vai estreiar a mtv AMEM IRMAOS
negativo	SKY EU TE ODEIO
negativo	Sky Fdp eu quero ver a merda do jogo
negativo	sky fora do ar to perdendo o jogo mas ok
neutro	sky gato é vida kkk
lixo	#sydney #Australia #park #sky #trip #travel #honeymoon #walk @ Hyde Park http://instagram.com/p/dlExEvGYU6/
neutro	Sky liberou o jogo pro RS pelo 124!
neutro	"SKY LIVRE 12X DE  40,00 REAIS.. ATENÇÃO COMO FUNCIONARÁ O SISTEMA DE VENDA PROGAMADA OS SORTEIOS SERÁ REALIZADO... http://fb.me/WKTacSz3 ( https://www.facebook.com/judson.pancadao/posts/511078785645385 )"
negativo	sky lixo que não funciona
neutro	SKY me mandou isso sobre a @mtvbrasil http://email.sky.com.br/ClickHere/View… ( http://email.sky.com.br/ClickHere/ViewEmail.aspx?p=3332574&c=556748 )
negativo	sky miau parou de funfar
negativo	Sky não faz uma
negativo	SKY não tem a esporte interativo ai ai  tem coisas que não entendo
positivo	Sky nao tem melhor :)
lixo	"@SKYresponde Eu sei que o Discovery Turbo não está disponível. O que eu quero saber é, quando a SKY disponibilizará o canal..."
neutro	SKY não terá mais o canal VH1. MTV Brasil substituirá sinal http://vcfaz.tv/viewtopic.php?… ( http://www.vcfaz.tv/viewtopic.php?t=203370 )
negativo	"sky parando de pegar, ta lindo"
negativo	SKY preto e branco \o/ nunca assisto tv mas quando vou...
negativo	Sky q porra foi essa???
negativo	Sky querendo me matar do coração...
negativo	Sky queta o faixo com esse sinal
negativo	Sky resolveu ficar de putaria logo agr --'
lixo	"@_hellovicky depois que vi o pôpô, tirei e coloquei Laputa Castle in the Sky e tanto meu pai quanto minha mãe amaram XD.."
negativo	sky sempre me responde no twitter mas melhorar que é bom nada
neutro	SKY so me iludiu :c Vou olha Constantine agora ^^
negativo	"sky ta mt caro, acho q vai a claro tv mesmo"
neutro	Sky tb tá passando o jogo do Grêmio no canal 124... mas não em HD!
negativo	Sky te odeio
neutro	Sky traz um sentido completamente novo para as #hashtags do Twitter - #antigo http://bit.ly/19rN2yR ( http://www.midiatismo.com.br/midias-sociais/sky-traz-um-sentido-completamente-novo-para-as-hashtags-do-twitter )
neutro	SKY trocará o canal Vh1 pela nova MTV Brasil em outubro. http://fb.me/2XRgv1nDs ( http://deolhosnatv.blogspot.com/2013/08/sky-trocara-o-canal-vh1-pela-nova-mtv.html?spref=fb )
neutro	Sky tv a cabo KKKKKKKKKKKKKKKKKKKKKKKKKKKKK
negativo	"SKY, NÃO FODE NÉ?! RT @Bruunabfr: A sky saiu do ar por alguns segundos, quase morri."
neutro	"sky, volta pra mim! pleaseeee =("
neutro	SKY. CANAIS ABERTOS. OBRIGAÇÃO. A 5ª Turma do TRF da 1ª Região manteve a obrigação imposta à SKY Brasil Serviços... http://fb.me/MDUy17PB ( https://www.facebook.com/photo.php?fbid=648800911797355&l=61e9a15a8f )
lixo	sky ferreira is absolutely perfect. #wcw
lixo	RT @youshelterme: Gabriel e sua leve mania de imbicar 100 pessoas na conversa do sky
lixo	RT @youshelterme: Gabriel e sua leve mania de imbicar 100 pessoas na conversa do sky
negativo	SKY: isso é tv. A menos que chora.
neutro	Só a minha tv que ta fora? Quero a sky de volta :(
neutro	"Só aqui que ainda não estão transmitindo o jogo do Grêmio? (canal 124, da sky)"
neutro	só até o cara vir ajeitar a sky
neutro	"Só em pensar que eu estou sem Sky ainda e perdendo ''Vai que Cola'' , dá vontade de chorar manoooooooooooooooooooo, quero muito ver..."
lixo	"só ficou musica da lana, sky e do pmore no meu celular............engraçado né"
lixo	SKY afirma que perderá 500 milhões com canais abertos http://exorbeo.com/2013/07/sky-af… ( http://www.exorbeo.com/2013/07/sky-afirma-que-perdera-500-milhoes-com-canais-abertos.html ) via @exorbeo  Esse BAP da @skybrasil é um TROUXA MESMO.
negativo	Só o meu aparelho da Sky q desliga de meia em meia hora e só no melhor da programação #Brava!!!
neutro	So oq eu nao tenho sky
positivo	Só quem têm sky sabe o que é qualidade!
lixo	Mas sem sky tudo fica complicado. Assistir séries online é o fim do mundo!
lixo	"@_hellovicky coloca laputa castle in the sky, vai ver eles gostam.. é meio infantil, mas é legal.. totoro também KKKKK"
neutro	"Só rolava RT @OFelipe93: O SporTV mostrará 4 jogos às 21h50. Bem que poderia rolar um mosaico multi-jogos no canal 126 da SKY, hein?!"
negativo	"sou foda, to pegando todo o sinal do wi-fi, fazendo que a SKY não pegar, pai ta puto da cara, HSAUHSAUHSAUHAUHSUAHSAUHSUHSAUHSAUHSAUHSAUHSHS"
neutro	sportv4 o canal 124 da sky vai transmitir gremio e santos na net é o 122
lixo	Super normal escrever ´´Skye´´ em vez de ´´Sky´´ né? Eu faço isso sempre.
negativo	Ta bom dessa #Sky aderir o Esporte Interativo!! porra ;x
neutro	ta dando somos tão jovens no cine sky
neutro	Ta em algum canal da Sky ou só EI o barça?
lixo	Valeu Sky! (@YouTube http://youtu.be/DSJWZrkzJHc?a ( http://www.youtube.com/watch?v=DSJWZrkzJHc&feature=youtu.be&a ))
neutro	"Ta passando Cheech and Chong no cine sky, o fazendo fumaça"
neutro	tá passando no cine sky
lixo	Blue Sky Studios Rio 2 Samba - First Two Minutes http://wp.me/p1LQa3-5M9 ( http://moresay.com/2013/08/blue-sky-studios-rio-2-samba-first-two-minutes/ )
positivo	"ta tocando umas musicas brasileiras aqui com video bem legais, q eu nem conhecia nem vcs conhecem tbm, amo a sky"
lixo	sky ferreira asos♥
neutro	TalkTV: Futebol em HD na Sky - Qual a melhor imagem? http://tvm.ag/1drGGF9 ( http://www.tvmagazine.com.br/irregular.html )
neutro	Tanta coisa passando na sky e o Vitor assiste logo Mr. Bean
lixo	"@imperiocaio @4everWithYou_C3 nao vou deixar de assistir,e vou gravar na sky rss"
neutro	"tava na casa da @rafinhafdr, mais subir aqui pra casa pra ver o jogo, pq a mams dela tá vendo filme na sky #MPN #DIFERRERO"
neutro	Tem algum filme bom passando na sky ?
neutro	"tem canal porno na sky gato? não que eu precise saber, só bateu a curiosidade"
neutro	tem mtv na sky não ? --'
negativo	tem nada passando nessa merda sky
neutro	"tem nd que presta passando, sdds sky"
negativo	Tem um monte de canal na sky que tá passando Flamengo x Cruzeiro e o Corinthians x Luverdense e não tem NENHUM passando Santos :@ tnc
neutro	"tendo sky e minha mãe querendo ver o padre, mereço --'"
negativo	tenho q ver o jogo lance a lance por causa da porra da sky
negativo	Tenho sky pra nada né. KKK
negativo	Tenho todos os canais de esporte na porra da sky e nem pra passar o jogo do Barça
negativo	"Tenho uma bosta de sky que nao pega sportv e uma bosta de internet que nao pega e vou perder o jogo que eu mais quero ver na minha vida, TNC"
neutro	"Ter que assistir tênis no Sportv4 é zuera, ein... Pq não passam no 3????!?!? Mt mais fácil de achar na Sky"
lixo	@whomath esse icon ou o da sky
lixo	"terminei o sky com a má, porque não dá essa guria só escuta funk merece uma surra bem dada"
negativo	"tinha dado pau na sky dai tive que ligar lá pra central, fiquei uma meia hr no cel com a tia ¬"
neutro	tinha que assisti o jogo ne mais dai eu nao tenho sky e tals ne faze o que ne
negativo	"tiração essa sky, n tá passando o jogo do Barça ."
lixo	to aceitando http://artwalk.com.br/Tenis-Nike-Dun… ( http://www.artwalk.com.br/Tenis-Nike-Dunk-Sky-Hi-Print-W---Cano-Alto-54325-8-401/p )
lixo	@DudaVampGleek vai da pra para de escutar eletric sky no repete uishfdisuhfiusdh
neutro	to afim de troca uma ideia com a sky so ela me entende saposkaokspoapsoapspaskasaoso
neutro	to assistindo um filmezin pá na sky
neutro	"to cansada de acompanhar o jogo do Botafogo pela internet, queria tanto uma sky aqui :("
neutro	To loco que venham instalar a sky aqui em casa nao aguento mais essa programação patética da televisão aberta...
negativo	To PUTA q a sky do meu quarto eh a unica da casa q ta dando merda e eu n consigo acompanhar o jogo
negativo	to revoltada com a sky
negativo	"To revoltada pq n tá passando o jogo na sky, pra piorar eu n tenho a senha desse pc"
neutro	"to sem sky, que maneiro --'"
neutro	"to sem sky, to escutandoo jogo na radio :S"
lixo	"Minha nova compra Purple Sky Shirt, Hip Hop Glasses não é adorável? Visite minha Suite e confira! http://stardoll.com/in/?pid=25720&… ( http://www.stardoll.com/en/user/?id=231125201&pid=25720 )"
neutro	To sem sky..... É p chorar ou chorar?
negativo	"to sem tv , minha sky bugou"
neutro	To vendo Os pequenos invasores na sky kkk nada melhor mesmo -.-
neutro	"to vendo um filme aqui no sky, mas n é muito bom"
negativo	TOMA NU CU SKY NAO TEM ESPORTE INTERATIVO !
neutro	"Tomei um banho toquei uma viola da booa, e agora vou olhar um bom filme na sky :) (se estiver dando)"
neutro	"trocaram a sky daqui de casa, caramba não sei mexer nessa : //"
neutro	"Tv aberta é podre, nunca passa jogo desses times do sul. Negócio era ter uma Sky, ai sim é top =P"
neutro	Uhuu agora tenho sky na minha tv!!!
positivo	uhuul vai entrar mtv na sky
negativo	Um absurdo nenhum canal da sky transmitir uma partida como Grêmio x @SantosFC .. Pra quê eu pago essa merda?
neutro	um filme bom na sky pfvr
negativo	uma mulher da sky me ligou hj bem atoa pq ne
lixo	"Un segundo libro de ""Finding sky"""
positivo	URRUL! Vai voltar MTV na Sky \o/ no dia 1/10 \o/
negativo	Vai  a merda @sky
negativo	vai mostra a entrevista q o E3 fez pra playtv amanha porem a sky tiro a playtv ¬¬
neutro	Vai q cola eh a única coisa q presta a essa hora na sky
negativo	Vai se foder não vão passar o jogo da dupla grenal na SKY. Porra.
neutro	vai voltar a ter MTV na sky! 🙌🙌🙌
lixo	"@strawberrysatan pra mim ele tem cara de câncer, me lembra muito o menino de câncer de Starry Sky"
neutro	Valeu “@enricolazzaroni: @tekitedesco 124 da SKY”
negativo	Valeu sky por me deixar sem assistir a Supercopa da Espanha. #SKY
neutro	Vamos ver se tem algo q preste na Sky
negativo	VAO TIRAR O VH1 DA SKY NAO ACREDITOOOOOOO VSF
lixo	@DudaVampGleek definitivamente sim asiuas eu acho que ate ela n consegue mais ouvir eletric sky ahsiu
neutro	vcfaz.TV - SKY trocará o canal Vh1 pela nova MTV Brasil em outubro http://vcfaz.tv/viewtopic.php?… ( http://www.vcfaz.tv/viewtopic.php?p=1480926 )
negativo	"vendo o jogo do Barcelona , meeu pai assinou o pacote mais caro da #ClaroTv poha muito bom , melhor que muitos pacotes da sky !"
neutro	verei jogo do gremio pela Rbs mae ta usando tv que passa pela sky que triste ;x
neutro	"VH1 vai sair da Sky e a MTV Brasil vai entrar, masoq. http://oarthur.com/2013/08/vh1-br… ( http://www.oarthur.com/2013/08/vh1-brasil-saira-da-sky.html )"
neutro	VH1 vai ser substituida na sky pela mtv :o
neutro	"Viadoooo, o controle da sky sumiu, que ódio! :@"
neutro	vim p sala ver o jogo por motivos do meu pai ter levado meu aparelho da sky p sana
neutro	"Vim pra casa de um brother ver o jogo, ele tem sky. Caralho, sdds. Hahaha"
neutro	vo i ve um filme na sky pq n tem nd p fazerr
neutro	"Vo procurar algum filme na sky pra assistir, ate mais! #Fui"
neutro	"vo verrrrrr jogo d mengao, ta passando na sky, ahhahahaha"
neutro	"Você gosta de sofrer, hein? RT @bzanette: Quem tem Sky, Grêmio x Santos no canal 124."
lixo	"Você sabia que o disco ""Under a Blood Red Sky"" do U2 quase não existiu? Uma grande tempestade quase fez o show... http://fb.me/1mhlpLyI7 ( https://www.facebook.com/photo.php?fbid=628230507217172&l=d05623e9c0 )"
lixo	"Você sabia que o disco ""Under a Blood Red Sky"" do U2 quase não existiu? Uma grande tempestade quase fez o show... http://fb.me/2roF9KD3l ( http://www.radiocultfm.com/ )"
lixo	http://in-the-sky-that-night.tumblr.com/post/593251197… ( http://in-the-sky-that-night.tumblr.com/post/59325119790/ok-larger-version ) fuuuuuuuuuuucccccccccckkkkkkk
negativo	Vontade de xingar o ministério de minas e energia até eu morrer por terem queimado meu receptor da sky
neutro	vou achar algo na sky até começar simpsons bj
lixo	SKY Rock in Rio! Ta ficando show a Mansão do Rock! Obrigado agencia MiX 👏👏👏 @celioashcar… http://instagram.com/p/dk16cIxr0u/
lixo	eu ia ver coraline na sky mais a hora que deu eu tava la na casa da moia dai nem vi :c e nao tem esse filme no youtube
lixo	RT @luisa_viegas: eu ia ver coraline na sky mais a hora que deu eu tava la na casa da moia dai nem vi :c e nao tem esse filme no youtube
neutro	vou ali trocar de roupa e ver o que ta dando na sky
neutro	Vou colocar SKY HD aqui em casa. Quero ver se eu perco alguma merda de jogo/show/qqr merda agora.
lixo	Game Over Boa Noite! #instagram #instagramhub #sky #webstagram #clouds #popular #nature #instadaily… http://instagram.com/p/dlK749EoCv/
neutro	Vou colocar uma tv e sky e um xbox no meu quarto e vou colocar um frigobar cheio de bebida. Assim da pra viver
lixo	vou de sky --'
neutro	Vou enclausurar no meu quarto agora q trouxe minha sky pra ca e fazer daqui minha caverna e nunca mais sair
neutro	"vou por pra sky de volta, não quero ver Saramandaia não '-'"
neutro	vou pra sala por que lá tem sky
negativo	vou quebrar o aparelho da sky
neutro	"vou tirar o esmalte ouvindo, será q na sky pega? ai q preguiça"
neutro	Vou ver desenho na sky kkkk
lixo	"Hoje a SKY tá impossível. Travando a toda hora. Técnico veio aqui, viu o problema e não trocou o aparelho. VERGONHA! @skybrasil"
neutro	Vou ver se está passando algo bom na sky
neutro	vou ver se ta passando alguma coisa de bom na sky porque ta um tédio !!!
neutro	vou ver uma sky que eu ganho mais
negativo	"Vozes do Alem,Premunição G-zuis só passa besteira nessa sky '-'"
lixo	Full 14 inches   Sky Blue Topaz Micro by GemsAndBeadsEmporium http://etsy.me/140ZXsZ ( http://www.etsy.com/listing/161047311/full-14-inches-sky-blue-topaz-micro ) via @Etsy
negativo	"Vtnc a sky nao ta pegando, agr vo fica sem ver o palmeiras"
lixo	"Wanna Book Asia Sky, Gino or JR!!!! Contact me at jamzonemgmt30@gmail.com"
lixo	Muito bom *-* — assistindo Vanilla Sky
neutro	"zé sumiu com meu controle da sky, bora ver sbt uhul"
lixo	@SKYresponde @LuanRules A ESPN+ já faz parte da SKY a muito tempo!!!
lixo	"não gostaria que Never Sky se tornasse um filme, afinal, qualquer que seja o ator que será o Perry não será bom o bastante."
neutro	' aguardando o rapaz dá SKY ' espero q venho um bem gatinhu aqui.
neutro	=- KARACA KABO DE PASA HEIM CASA UM VENDEDOR DA SKY KE Meu DEUS KKKKKK O LÀ HEIM CASA VIU !O.o
neutro	- SKY terá de cumprir lei e oferecer mais canais de TV aberta aos assinantes http://bomdia.adv.br/noticias.php?i… ( http://www.bomdia.adv.br/noticias.php?id_noticia=37027 )
lixo	"RT @futnews5: Lorient ofereceu o zagueiro Ecuele Manga ao Napoli, segundo a SKY Itália."
lixo	"@BMACHADOROCHA Denise, a SKY disponibiliza as opções de áudio e legenda que são liberados pelas programadoras. Agradecemos sua sugestão."
lixo	"@skyresponde A Sky não tem ética, é irresponsável, desafia orgãos e até a Justiça. Vão incluir a MTV só porque não é mais do grupo Abril."
lixo	@skyresponde TENHO NOJO da SKY!!
neutro	- SKY terá de cumprir lei e oferecer mais canais de TV aberta aos assinantes http://oabfi.com.br/noticias.php?i… ( http://www.oabfi.com.br/noticias.php?id_noticia=37027 )
lixo	Sky Ferreira en Balmain para Vogue Paris <3 http://fb.me/X45akxST ( https://www.facebook.com/tfh.face/posts/633434350014917 )
neutro	"' vou caçar um filme na sky e apagar, amanhã é dia de cair pro lado de macaé ^^ ... boa noite ai pra quem fica :D haha"
lixo	""" A 'Sky Italia' afirma que o Tottenham e Real Madrid já fecharam nos 87 milhões de euros por Bale. Até sexta termina essa novela."""
negativo	"""Ezra é A"" vcs chocadas e eu com raiva porque a merda da sky tirou a boom e ñ gosto de vê pela net"
lixo	"@cupcabello Olá Camilla! No momento este canal não esta disponível na SKY. Em breve teremos novidades, por favor aguarde!"
neutro	"""Porque no Vácun a gente ""trabaiava"" conforme o sol"" ""Meu cunhado tinha sky, se acabava o home, depois ia ""trabaia"" com as perna mole"""
neutro	"""Pra qm ainda não assistiu, vai passar no canal de TV à cabo Nick, sexta"" ""Mas é só pra quem tem TV à cabo? Na SKY não vai passar?"" AAAAAAAA"
neutro	#ATENÇÃO Galera qual canal da SKY vai passar o jogo hoje ? Ajuda ae
lixo	:) camino a San Cris #landscape #sunnyday #clouds #sky #picoftheday #photooftheday #instadaily http://instagram.com/p/diocy6HVpE/
neutro	"#EntreSemBater | Assista aqui o Episódio 7, com o produtor musical do CD #JerryBarnes !! http://skylive.sky.com.br/#/entre-sem-ba… ( http://skylive.sky.com.br/ ) @jotaquest"
neutro	"#EntreSemBater | Assista aqui o Episódio 7, do produtor musical Jerry Barnes!!! http://skylive.sky.com.br/#/entre-sem-ba… ( http://skylive.sky.com.br/ ) @jotaquest"
neutro	#EntreSemBater Episódio7: **estrelando** o produtor #JerryBarnes !! Assista aqui: http://skylive.sky.com.br/#/entre-sem-ba… ( http://skylive.sky.com.br/ )
neutro	"#F1 Além disso, o brasileiro estaria levando um bom dinheiro em patrocínios do Banco do Brasil e da Sky. A ver..."
positivo	"#OneDirectionNoCQC botei pra gravar na sky lá de casa e já assisti umas 100 vezes, acho que até gravei tudo que eles falam kkkkkkkk"
neutro	#Partiu olhar um filme na SKY
